driverId,name,ssn,location,certified,wage-plan
62,Stephen Smith,245-29-6281,"135 Velasquez Plains
West Michaelbury, ID 14160",Y,miles

63,Krystal Jacobs,876-23-8470,"4409 Rodriguez Centers Suite 369
New Edward, NJ 78025",N,miles

64,Cameron Kidd,607-92-8811,"Unit 6740 Box 8377
DPO AA 92131",N,miles

65,Kristina Myers,662-67-5597,"4743 Campbell Locks Suite 325
Kristinabury, MN 90604",N,miles

66,Amanda Peck,361-38-3847,"67162 Ryan Orchard
Port William, IL 31851",Y,hours

67,Monique Ramirez,460-44-6772,"88595 Jennifer Mountains Suite 199
Lake Robertstad, AL 51547",N,hours

68,Troy Brown,469-01-4337,"09748 Jacob Crescent Apt. 154
Davenporttown, AZ 72560",N,miles

69,Charles Lawrence,004-41-5040,"0367 Thompson Manor
Castilloshire, WY 86076",Y,hours

70,Zachary Beasley,682-27-2702,"PSC 4581, Box 0720
APO AA 18498",Y,miles

71,Derrick Townsend,885-89-8219,"10688 Sara Radial
Knoxshire, IN 98164",N,miles

72,Christina Liu,311-45-4787,"90251 Theresa Manors
Jeremyborough, TX 86475",Y,miles

73,Beth Davies,022-59-4363,"8640 Jeffrey Shoals
South Brandon, AR 93126",Y,hours

74,Robert Turner,708-13-9520,"78647 Valerie Rapids
Kaylafort, MA 20292",Y,hours

75,Gregory Evans,789-86-9121,"6451 Jeffrey Extensions
Smithbury, GA 24760",N,hours

76,Brian Evans,740-55-6614,"8122 Brandon Drives
Lake Patrickport, GU 95412",Y,hours

77,Jennifer Brown,583-63-4303,"367 Russo Row
West Kayla, CO 31407",Y,hours

78,Joseph Schwartz,259-97-6705,"337 Dunn Roads Suite 739
Tatetown, OR 90395",Y,miles

79,James Knight,043-23-6504,"14914 Scott Junction
East Rebecca, CA 52452",Y,miles

80,Barbara Wright,721-84-0209,"PSC 4237, Box 7137
APO AA 47772",Y,miles

81,Angel Reilly,677-13-9405,"866 Park Views Suite 742
East Philip, GA 85005",N,hours

82,Courtney Durham,853-14-5410,"020 Dana Tunnel
Eugenetown, WA 47868",N,hours

83,Mark Perez,729-47-3772,"2323 Martin Locks
Lake Marissa, HI 76709",N,miles

84,Gordon Ramos,255-45-4642,"USNV Anderson
FPO AE 94846",N,hours

85,Jennifer Krueger,238-27-4611,"27925 Hanna Route Apt. 788
North Christine, ID 70663",N,miles

86,Brittany Alexander,224-67-9529,"47873 Paul Underpass Suite 729
Mackland, MD 12581",N,hours

87,Dr. Alexandria Hoffman,407-61-6613,"930 Parks Mountain
Lake William, IL 25425",Y,hours

88,Gary Nelson,131-63-9858,"850 Tyler Expressway Suite 910
Suzanneton, RI 47439",N,hours

89,Sherri Wagner,647-47-7284,"85369 Jessica Summit
Howardborough, GU 05253",Y,hours

90,Manuel Chapman,527-16-8711,"796 Johnson Street Suite 495
Danielstad, AZ 70270",N,miles

91,Ashley Lee,358-94-8245,"65442 Jessica Trail Suite 313
South Michellefurt, VT 36268",Y,hours

92,Tony Norman,077-81-4493,"PSC 8467, Box 5757
APO AA 87346",N,miles

93,Brandon Wright,033-16-9235,"7031 Stewart Circles Suite 887
Andrewburgh, PW 27674",Y,miles

94,Christopher Sparks,588-82-6087,"1895 Boone Creek
Wilsonborough, MO 01614",Y,hours

95,Alyssa Irwin,294-44-2205,"5658 Kyle Gardens
Lake Alexport, NY 98937",N,miles

96,Timothy Garza,570-62-3430,"0936 Li Fields Apt. 364
Lindashire, NV 39034",N,hours

97,Susan Klein,117-94-7398,"5279 Rogers Brooks
Lake Christopher, ME 98172",N,miles

98,Scott Gregory,292-75-8057,"USCGC Hooper
FPO AP 77051",Y,hours

99,Melissa Warner,039-23-3739,"2449 Sparks Lodge
Lake Frankside, KS 39468",Y,hours

100,Danielle Smith,822-02-4287,"8909 Carolyn Key
Jacksonchester, ND 74575",N,hours

101,Evelyn Harrell,450-40-8359,"1700 Smith Ports
Christinafort, DC 59201",Y,miles

102,Andre Williams,870-58-4099,"PSC 0642, Box 3261
APO AE 68606",N,hours

103,Ashlee Graves,516-32-2228,"7175 Santana Route
West Cynthiaville, FM 83069",Y,miles

104,Daniel Lee,870-36-9578,"897 Michael Circle
Scottbury, MI 91613",N,miles

105,Benjamin Miller,129-44-5933,"4988 Melissa Radial Suite 749
Bakerport, IL 94763",Y,miles

106,Shelby Turner,560-79-3708,"402 Nicholson Curve
Theresatown, MO 25593",Y,miles

107,Mary Patterson,365-07-6733,"4199 Bethany Burg
Lake Toniville, MO 53346",N,miles

108,Taylor Flores,090-12-7592,"952 Walker Pine Suite 618
Millerview, NJ 45084",Y,miles

109,Tracy Miller,720-26-8417,"695 Melanie Center
New Jasontown, GU 71515",N,hours

